Variable,Coef,Odds_Ratio,CI_Lower,CI_Upper,P_Value,Significant
Intercept,1.4458035646414713,4.245262115099841,3.885665382505838,4.638137526469033,6.511034217983299e-225,True
C(education_level_cat)[T.primary],-0.23599026552545901,0.7897883620700861,0.748981680580975,0.8328183092242025,2.813614168092114e-18,True
C(education_level_cat)[T.secondary],-1.0940294001562252,0.33486446866871244,0.3082444808666628,0.3637833581367024,9.418694207980798e-148,True
C(education_level_cat)[T.higher],-1.832347447540848,0.16003744697462252,0.13904216867129526,0.18420299883773758,7.584838198282943e-144,True
C(wealth_quintile_cat)[T.Poorer],0.010235284432053847,1.0102878441238334,0.9518519444104877,1.0723112286297045,0.7363450180949496,False
C(wealth_quintile_cat)[T.Middle],0.07913841987882274,1.0823541310294669,0.981783578906754,1.1932267865602753,0.1117257605419027,False
C(wealth_quintile_cat)[T.Richer],-0.07834256749351924,0.924647618065585,0.8308360095148355,1.0290517115328446,0.15120211018810636,False
C(wealth_quintile_cat)[T.Richest],-0.240309180087956,0.7863846889891994,0.7087621071676183,0.8725083816175172,5.84172720463563e-06,True
C(residence_cat)[T.urban],-0.13577612364683023,0.873038063189512,0.8027986350910037,0.9494229641923762,0.0015099536584322806,True
C(survey_year_cat)[T.2005],-0.044029014279135935,0.9569261925465959,0.9016111880621668,1.0156348436068718,0.14725491093938262,False
C(survey_year_cat)[T.2011],-0.3135202152386474,0.730869604150798,0.6906740615269957,0.7734044291319685,1.729531873536836e-27,True
C(survey_year_cat)[T.2016],-0.30253900036940073,0.7389396687769155,0.6974561514652374,0.7828905558364021,1.0336860023910651e-24,True
current_age,-0.01187612332033835,0.988194119486494,0.9858326181414158,0.9905612776626612,2.2735083016982127e-22,True
