Variable,IRR,CI_Lower,CI_Upper,P_Value,Significant
Intercept,0.5455035482724073,0.5332916253841236,0.5579951137680956,0.0,True
C(education_level_cat)[T.primary],0.8851499289519751,0.872695921851554,0.8977816638141213,6.90748817550619e-64,True
C(education_level_cat)[T.secondary],0.7491714958074296,0.7291482321020206,0.7697446217654843,6.184946066564302e-97,True
C(education_level_cat)[T.higher],0.5936855822802396,0.5672782499797384,0.6213222005603355,1.0181642955252756e-111,True
C(wealth_quintile_cat)[T.Poorer],1.0009318315226337,0.9875173364554395,1.0145285499000065,0.8923773931428112,False
C(wealth_quintile_cat)[T.Middle],0.9830633845987689,0.9599129652110774,1.0067721274358246,0.16005932257537625,False
C(wealth_quintile_cat)[T.Richer],0.8572615511726188,0.8326095380290078,0.8826434643765527,4.394782147171433e-25,True
C(wealth_quintile_cat)[T.Richest],0.8097667646990737,0.7868198668736243,0.8333828882799732,6.282234269184495e-47,True
C(residence_cat)[T.urban],0.8267623611957567,0.8091128490364904,0.8447968694403418,6.783709723493593e-67,True
early_marriage,1.270482858941213,1.2568667830032434,1.2842464425756668,0.0,True
current_age,1.058483405641075,1.0578915135064089,1.059075628940416,0.0,True
