Variable,Coef,Odds_Ratio,CI_Lower,CI_Upper,P_Value
const,-0.8253,0.4381,0.3937,0.4876,0.0
early_marriage,0.1665,1.1811,1.1285,1.2362,0.0
current_age,0.0368,1.0375,1.0339,1.0411,0.0
education_years,0.0601,1.0619,1.055,1.0689,0.0
children_ever_born,-0.0761,0.9267,0.9169,0.9367,0.0
wealth_numeric,0.0161,1.0163,0.9901,1.0431,0.2254
residence_binary,0.2874,1.333,1.2273,1.4478,0.0
year_2005,-1.2989,0.2728,0.2567,0.2899,0.0
year_2011,-0.9632,0.3817,0.3606,0.4039,0.0
year_2016,-1.0194,0.3608,0.3405,0.3824,0.0
