Variable,Coef,Odds_Ratio,CI_Lower,CI_Upper,P_Value
const,0.71,2.034,,,
current_age,0.0043,1.0044,1.0016,1.0071,0.0016
education_numeric,-0.5583,0.5722,0.5531,0.592,0.0
wealth_numeric,0.0336,1.0342,1.0055,1.0637,0.0191
residence_binary,-0.0255,0.9748,0.8951,1.0616,0.5577
year_2005,-0.0501,0.9511,0.8936,1.0123,0.1154
year_2011,-0.2438,0.7836,0.7385,0.8316,0.0
year_2016,-0.2699,0.7634,0.7154,0.8147,0.0
region_Addis_Ababa,-0.7137,0.4898,,,
region_Afar,0.2772,1.3195,,,
region_Amhara,1.011,2.7484,,,
region_Benishangul-Gumuz,0.4276,1.5336,,,
region_Dire_Dawa,0.2279,1.2559,,,
region_Gambela,0.298,1.3472,,,
region_Harari,-0.1461,0.8641,,,
region_Oromia,-0.0095,0.9906,,,
region_SNNPR,-0.3004,0.7405,,,
region_Somali,-0.4455,0.6405,,,
region_Tigray,0.3451,1.4122,,,
region_Unknown,-0.2618,0.7697,,,
