survey_year,education_level,n,prevalence,prevalence_se,prevalence_low,prevalence_upp
2000,higher,100,20.0,0.04,12.12,27.88
2000,no_education,8114,73.13,0.0,72.17,74.1
2000,primary,1281,61.83,0.01,59.17,64.49
2000,secondary,842,40.38,0.02,37.06,43.7
2005,higher,170,25.88,0.03,19.28,32.49
2005,no_education,6871,71.1,0.01,70.02,72.17
2005,primary,1364,67.67,0.01,65.19,70.15
2005,secondary,949,39.73,0.02,36.61,42.84
2011,higher,427,20.37,0.02,16.55,24.2
2011,no_education,7094,67.79,0.01,66.7,68.88
2011,primary,2806,58.34,0.01,56.51,60.16
2011,secondary,612,33.17,0.02,29.44,36.9
2016,higher,624,21.47,0.02,18.25,24.7
2016,no_education,6251,66.28,0.01,65.11,67.45
2016,primary,2779,57.11,0.01,55.27,58.95
2016,secondary,963,35.72,0.02,32.69,38.75
