Year,Variable,Odds_Ratio,CI_Lower,CI_Upper,P_Value
2000,primary,0.6794106650855953,0.5944620210302515,0.7764984734130909,1.4125714531801956e-08
2000,secondary,0.306942490122741,0.2564172252821423,0.36742341369259907,6.556596333219813e-38
2000,higher,0.10866532197098702,0.06565777616033304,0.17984392542055264,5.908614154375208e-18
2005,primary,0.8691812263892081,0.761393312275344,0.9922283163346773,0.03794401846575558
2005,secondary,0.288039414649944,0.24067523172852442,0.34472473048438457,5.3218246850679735e-42
2005,higher,0.15271870673398658,0.10560355638432484,0.2208543365871277,1.794553836970849e-23
2011,primary,0.7243880177723411,0.6575884041472329,0.7979733173254886,6.494340809313519e-11
2011,secondary,0.28889219217618306,0.237804874277655,0.3509545334336435,6.929375527631745e-36
2011,higher,0.14895916224722888,0.11536184922635465,0.19234116101813648,2.776980200761536e-48
2016,primary,0.7338442587697649,0.664531914848559,0.8103860538467461,9.757332758761322e-10
2016,secondary,0.3393408084833418,0.29000136053157327,0.3970746347225882,2.0050093433773391e-41
2016,higher,0.17780338627355502,0.14332094110028154,0.22058216983254866,1.4887691859694952e-55
