Variable,VIF
region_Addis_Ababa,inf
region_Afar,inf
region_Amhara,inf
region_Benishangul-Gumuz,inf
region_SNNPR,inf
region_Somali,inf
region_Tigray,inf
region_Unknown,inf
region_Oromia,inf
region_Harari,inf
region_Gambela,inf
region_Dire_Dawa,inf
wealth_numeric,3.8215839529992524
residence_binary,3.2913050491563847
year_2016,1.8020763878227175
education_numeric,1.6204457895672129
year_2011,1.5328559005125868
year_2005,1.4778931991837072
current_age,1.0432132815656032
const,0.0
